callsign,contour_type,area,filename,lat,lon,frequency,power,region,state,city,owner
WDNC,day_2,0.6916661581490189,WDNC_2_D_as1.kml,35.9679166666667,-78.8877777777778,620.0,1.5,Southeast,NC,DURHAM,"WDNC-AM, LLC"
WDLW,night_2,0.2042929526651278,WDLW_2_N_as1.kml,41.43,-82.1519444444445,1380.0,0.5,Great Lakes,OH,LORAIN,"WDLW RADIO, INC."
WYMM,day_2,3.154806826089043,WYMM_2_D_as1.kml,30.3638888888889,-81.7483333333333,1530.0,50.0,Southeast,FL,JACKSONVILLE,"AVM Broadcasting, LLC"
WTIQ,day_2,0.2673231044318527,WTIQ_2_D_as3.kml,45.9641666666667,-86.2769444444444,1490.0,1.0,Great Lakes,MI,MANISTIQUE,"AMC PARTNERS ESCANABA, LLC"
WSCO,day_2,0.3423998411744833,WSCO_2_D_as1.kml,44.2177777777778,-88.4091666666667,1570.0,0.331,Great Lakes,WI,APPLETON,"WOODWARD COMMUNICATIONS, INC."
WOCJ,day_2,0.11406918882858008,WOCJ_2_D_as1.kml,34.2527777777778,-88.96,1440.0,1.0,Gulf Coast,MS,PONTOTOC,
WCBT,night_2,0.07777494640322402,WCBT_2_N_as3.kml,36.4458333333333,-77.6641666666667,1230.0,1.0,Southeast,NC,ROANOKE RAPIDS,Shantae Broadcasting Inc.
WJLX,day_0.5,0.4921272355131805,WJLX_0.5_D_as3.kml,33.815,-87.2719444444444,1240.0,1.0,Gulf Coast,AL,JASPER,"BLUE DOOR BROADCASTING, LLC"
KMFR,day_0.5,1.3515243902802467,KMFR_0.5_D_as1.kml,28.8871944444444,-99.1114166666667,1280.0,0.46,Gulf Coast,TX,PEARSALL,"RUFUS RESOURCES, LLC"
KNEM,night_2,0.5557268931297585,KNEM_2_N_as3.kml,37.8603055555556,-94.3818888888889,1240.0,0.5,Mid-South,MO,NEVADA,"HARBIT COMMUNICATIONS, INC"
WXJC,night_2,1.6049892106093466,WXJC_2_N_as1.kml,33.6237222222222,-86.7458333333333,850.0,1.0,Gulf Coast,AL,BIRMINGHAM,"KIMTRON, INC."
WUCT,night_2,0.13939638016745448,WUCT_2_N_as1.kml,36.1886111111111,-85.4730555555556,1600.0,0.02,Mid-South,TN,ALGOOD,"STONECOM COOKEVILLE, LLC"
WXRS,night_2,0.1309534033644013,WXRS_2_N_as1.kml,32.5569444444444,-82.3413888888889,1590.0,0.45,Southeast,GA,HENDERSON,"RADIOJONES, LLC"
WSPC,day_0.5,0.7910522946622223,WSPC_0.5_D_as1.kml,35.3870833333333,-80.192,1010.0,0.064,Southeast,NC,ALBEMARLE,"STANLY COMMUNICATIONS, INC."
WAGR,night_2,0.07273133919807151,WAGR_2_N_as3.kml,34.5994444444444,-79.0091666666667,1340.0,1.0,Southeast,NC,LUMBERTON,"WAGR BROADCASTING, INC"
WFNZ,night_2,0.8421752113499679,WFNZ_2_N_as1.kml,35.3009722222222,-80.8881388888889,610.0,5.0,Southeast,NC,CHARLOTTE,"RADIO ONE OF NORTH CAROLINA, LLC"
